online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245
TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41701
FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145
TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42226
TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,39031
TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165
FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,33455
TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216
FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784
TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172
TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527
FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",34586
FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,37873
FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,38206
FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,37337
FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,42145
FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404
FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,34079
FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,42145
TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,41047
FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,42560
TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710
FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,41922
TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,37539
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404
TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",38991
FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",37874
FALSE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996
FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,33549
FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38693
TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,37668
FALSE,Approved,Solex,Touring,medium,large,2083.94,$675.03,41533
FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,$513.85,41922
FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,37668
TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,42172
FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,42560
TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527
TRUE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,41009
FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38206
FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553
FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,39427
TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,33549
TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,34527
FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",35470
TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,41434
FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367
TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750
FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",41848
FALSE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,34244
TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,39031
TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",42696
TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,36367
TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245
TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38258
TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167
TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165
TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,35707
FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42295
FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,33552
FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,37668
FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,36145
TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667
FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693
TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879
TRUE,Approved,Solex,Standard,medium,large,1071.23,$380.74,40670
TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,37626
TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38339
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,38258
FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,33455
FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,34079
TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,40303
TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,34143
TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35160
TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,36668
TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",36498
FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38482
FALSE,Approved,Solex,Standard,medium,medium,441.49,$84.99,34071
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,40649
TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,38339
,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,37823
FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,$528.43,37874
FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,36146
FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,42226
FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,40649
FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,41434
FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,37873
TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,34115
TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,38991
FALSE,Approved,Solex,Standard,low,medium,945.04,$507.58,35052
TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172
FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879
TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,33364
TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,37873
FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,38482
TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,40553
FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",34071
FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",40303
FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,38647
FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,33888
TRUE,Approved,Solex,Road,medium,large,1777.8,$820.78,34115
TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,42218
FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,35470
TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,41345
FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,37823
TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38482
FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404
FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,42295
FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",37539
